Found 211 mutants to test
ok       Unmutated baseline in 52s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:222:9: replace AsyncPhysicsScheduler::step_parallel_staged -> PhysicsStepProfile with Default::default() in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:246:13: delete field total_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:247:13: delete field broad_phase_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged in 1s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:248:13: delete field narrow_phase_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:249:13: delete field integration_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:278:9: replace AsyncPhysicsScheduler::step_parallel_staged_with_stats -> PhysicsStepProfile with Default::default() in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:294:9: replace AsyncPhysicsScheduler::export_telemetry -> anyhow::Result<()> with Ok(()) in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:320:9: replace parallel::par_process_bodies -> Vec<T> with vec![] in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:320:9: replace parallel::par_process_bodies -> Vec<T> with vec![Default::default()] in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:331:9: replace parallel::par_process_collision_pairs with () in 0s build + 1s test
MISSED   astraweave-physics/src/ecs.rs:16:9: replace <impl Plugin for PhysicsPlugin>::build with () in 0s build + 1s test
MISSED   astraweave-physics/src/ecs.rs:17:63: delete - in <impl Plugin for PhysicsPlugin>::build in 0s build + 1s test
MISSED   astraweave-physics/src/ecs.rs:27:5: replace physics_step_system with () in 0s build + 1s test
MISSED   astraweave-physics/src/ecs.rs:35:5: replace sync_physics_to_transform_system with () in 0s build + 1s test
MISSED   astraweave-physics/src/projectile.rs:332:30: replace && with || in ProjectileManager::update in 6s build + 1s test
MISSED   astraweave-physics/src/projectile.rs:332:22: replace > with >= in ProjectileManager::update in 7s build + 1s test
MISSED   astraweave-physics/src/projectile.rs:332:56: replace > with >= in ProjectileManager::update in 6s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:334:46: replace / with * in ProjectileManager::update in 6s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:348:26: replace > with >= in ProjectileManager::update in 6s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:365:58: replace > with >= in ProjectileManager::update in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:369:89: replace * with / in ProjectileManager::update in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:371:64: replace * with + in ProjectileManager::update in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:371:64: replace * with / in ProjectileManager::update in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:438:36: replace - with + in ProjectileManager::calculate_explosion in 7s build + 1s test
MISSED   astraweave-physics/src/projectile.rs:449:42: replace > with >= in ProjectileManager::calculate_explosion in 7s build + 2s test
211 mutants tested in 40m: 42 missed, 158 caught, 11 unviable
