Found 211 mutants to test
ok       Unmutated baseline in 52s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:62:55: replace / with % in PhysicsStepProfile::narrow_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:62:55: replace / with * in PhysicsStepProfile::narrow_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with 0.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with 1.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with -1.0 in 0s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:68:43: replace == with != in PhysicsStepProfile::integration_percent in 1s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:72:13: replace * with + in PhysicsStepProfile::integration_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:72:13: replace * with / in PhysicsStepProfile::integration_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:71:54: replace / with % in PhysicsStepProfile::integration_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:71:54: replace / with * in PhysicsStepProfile::integration_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:109:9: replace AsyncPhysicsScheduler::with_threads -> Self with Default::default() in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:110:13: delete field thread_count from struct Self expression in AsyncPhysicsScheduler::with_threads in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:117:9: replace AsyncPhysicsScheduler::get_last_profile -> PhysicsStepProfile with Default::default() in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:123:9: replace AsyncPhysicsScheduler::record_step_telemetry with () in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:123:12: delete ! in AsyncPhysicsScheduler::record_step_telemetry in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:146:9: replace AsyncPhysicsScheduler::step_parallel -> PhysicsStepProfile with Default::default() in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:151:13: delete field total_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel in 0s build + 1s test
