Found 211 mutants to test
ok       Unmutated baseline in 56s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:498:24: replace * with / in predict_trajectory in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:502:18: replace > with >= in predict_trajectory in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:502:34: replace > with >= in predict_trajectory in 7s build + 2s test
MISSED   astraweave-physics/src/projectile.rs:503:43: replace * with + in predict_trajectory in 7s build + 1s test
MISSED   astraweave-physics/src/projectile.rs:504:42: replace / with * in predict_trajectory in 7s build + 1s test
MISSED   astraweave-physics/src/gravity.rs:111:29: replace < with <= in GravityZoneShape::get_gravity in 7s build + 2s test
MISSED   astraweave-physics/src/gravity.rs:335:13: delete field gravity from struct GravityZone expression in GravityManager::add_zero_g_box in 7s build + 1s test
MISSED   astraweave-physics/src/gravity.rs:345:13: delete field gravity from struct GravityZone expression in GravityManager::add_zero_g_sphere in 7s build + 1s test
MISSED   astraweave-physics/src/gravity.rs:365:13: delete field gravity from struct GravityZone expression in GravityManager::add_attractor in 7s build + 1s test
MISSED   astraweave-physics/src/gravity.rs:380:13: delete field shape from struct GravityZone expression in GravityManager::add_directional_zone in 7s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:229:9: replace Ragdoll::apply_impulse_to_bone -> bool with true in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:229:9: replace Ragdoll::apply_impulse_to_bone -> bool with false in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:249:9: replace Ragdoll::apply_impulse_with_propagation with () in 9s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:254:70: replace == with != in Ragdoll::apply_impulse_with_propagation in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:258:65: replace * with + in Ragdoll::apply_impulse_with_propagation in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:258:65: replace * with / in Ragdoll::apply_impulse_with_propagation in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:264:41: replace == with != in Ragdoll::apply_impulse_with_propagation in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:266:68: replace * with + in Ragdoll::apply_impulse_with_propagation in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:266:68: replace * with / in Ragdoll::apply_impulse_with_propagation in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:284:39: replace == with != in Ragdoll::center_of_mass in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:287:37: replace * with / in Ragdoll::center_of_mass in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:292:23: replace > with >= in Ragdoll::center_of_mass in 7s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:293:26: replace / with * in Ragdoll::center_of_mass in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:301:9: replace Ragdoll::is_at_rest -> bool with true in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:303:33: replace > with == in Ragdoll::is_at_rest in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:303:33: replace > with >= in Ragdoll::is_at_rest in 8s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:377:13: delete field shape from struct BoneDef expression in RagdollBuilder::add_hinge_bone in 8s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:424:36: replace + with - in RagdollBuilder::build in 7s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:424:36: replace + with * in RagdollBuilder::build in 7s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:426:40: replace + with - in RagdollBuilder::build in 6s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:426:40: replace + with * in RagdollBuilder::build in 6s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:429:36: replace + with - in RagdollBuilder::build in 9s build + 2s test
MISSED   astraweave-physics/src/ragdoll.rs:429:36: replace + with * in RagdollBuilder::build in 8s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:492:22: replace += with -= in RagdollBuilder::build in 7s build + 1s test
MISSED   astraweave-physics/src/ragdoll.rs:492:22: replace += with *= in RagdollBuilder::build in 7s build + 2s test
211 mutants tested in 37m: 35 missed, 170 caught, 6 unviable
