Found 211 mutants to test
ok       Unmutated baseline in 91s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:895:40: replace += with *= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:898:37: replace || with && in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:898:16: delete ! in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:898:59: replace < with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:898:59: replace < with > in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:898:59: replace < with <= in VehicleManager::apply_forces in 7s build + 3s test
MISSED   astraweave-physics/src/vehicle.rs:904:38: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:904:38: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:89: replace * with + in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:89: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:59: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:59: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:25: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:25: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:17: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:906:17: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:908:42: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:908:42: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:908:29: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:916:13: replace + with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:918:17: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:918:17: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:917:17: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:917:50: replace - with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:917:50: replace - with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:36: replace && with || in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:29: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:29: replace > with < in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:29: replace > with >= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:52: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:52: replace > with < in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:920:52: replace > with >= in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:928:17: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:928:17: replace / with * in VehicleManager::apply_forces in 10s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:61: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:61: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:54: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:54: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:68: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:926:68: replace * with / in VehicleManager::apply_forces in 7s build + 1s test
MISSED   astraweave-physics/src/vehicle.rs:930:50: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:930:50: replace * with / in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:934:46: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:934:46: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:17: replace + with - in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:17: replace + with * in VehicleManager::apply_forces in 7s build + 1s test
MISSED   astraweave-physics/src/vehicle.rs:935:50: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:935:50: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:935:57: replace - with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:935:57: replace - with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:67: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
211 mutants tested in 42m: 144 missed, 53 caught, 14 unviable
