Found 211 mutants to test
ok       Unmutated baseline in 91s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:721:42: replace + with - in VehicleManager::update_vehicle in 36s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:724:44: replace + with - in VehicleManager::update_vehicle in 23s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:728:21: replace + with - in VehicleManager::update_vehicle in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:728:21: replace + with * in VehicleManager::update_vehicle in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:727:21: replace + with - in VehicleManager::update_vehicle in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:727:21: replace + with * in VehicleManager::update_vehicle in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:726:21: replace + with - in VehicleManager::update_vehicle in 6s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:726:21: replace + with * in VehicleManager::update_vehicle in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:732:49: delete - in VehicleManager::update_vehicle in 6s build + 1s test
MISSED   astraweave-physics/src/vehicle.rs:746:47: delete - in VehicleManager::update_vehicle in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:779:69: replace * with + in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:779:69: replace * with / in VehicleManager::apply_forces in 9s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:780:42: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:780:42: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:792:44: replace + with - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:795:56: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:796:92: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:796:92: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:796:60: replace - with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:797:48: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:797:48: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:798:50: replace + with - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:820:53: replace > with >= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:822:41: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:822:41: replace > with < in VehicleManager::apply_forces in 15s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:822:41: replace > with >= in VehicleManager::apply_forces in 18s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:827:55: delete - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:830:53: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:830:53: replace > with < in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:830:53: replace > with >= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:831:32: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:831:32: replace / with * in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:831:18: delete - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:848:36: replace && with || in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:848:52: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:848:52: replace > with < in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:848:52: replace > with >= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:849:53: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:849:53: replace / with * in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:850:55: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:850:55: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:851:53: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:851:53: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:852:28: replace += with -= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:852:28: replace += with *= in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:852:43: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:856:59: replace == with != in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:857:45: replace == with != in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:859:47: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:859:47: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:864:28: replace > with >= in VehicleManager::apply_forces in 29s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:865:60: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:865:60: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:866:57: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:866:57: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:868:43: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:872:52: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:872:52: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:872:29: delete - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:877:17: replace + with - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:877:17: replace + with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:876:17: replace + with - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:875:45: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:877:46: replace * with / in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:884:45: replace - with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:884:45: replace - with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:885:26: replace += with -= in VehicleManager::apply_forces in 33s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:885:26: replace += with *= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:888:56: replace && with || in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:888:72: replace > with == in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:888:72: replace > with < in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:888:72: replace > with >= in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:889:53: replace / with % in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:889:53: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:890:48: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:890:48: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:890:41: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:890:41: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:71: replace / with % in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:71: replace / with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:35: replace - with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:35: replace - with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:48: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:891:48: replace * with / in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:51: replace / with % in VehicleManager::apply_forces in 8s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:51: replace / with * in VehicleManager::apply_forces in 19s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:29: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:29: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:17: delete - in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:65: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:65: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:58: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:893:58: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
