Found 211 mutants to test
ok       Unmutated baseline in 55s build + 2s test
MISSED   astraweave-physics/src/environment.rs:385:37: replace * with + in WaterVolume::sphere_submerged_fraction in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:494:34: replace * with + in EnvironmentManager::current_gust_force in 8s build + 2s test
MISSED   astraweave-physics/src/environment.rs:505:46: replace > with >= in EnvironmentManager::wind_force_at in 6s build + 1s test
MISSED   astraweave-physics/src/environment.rs:506:51: replace * with / in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:507:72: replace * with / in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:507:53: replace * with / in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:518:34: replace > with >= in EnvironmentManager::wind_force_at in 8s build + 2s test
MISSED   astraweave-physics/src/environment.rs:520:72: replace * with + in EnvironmentManager::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:72: replace * with / in EnvironmentManager::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:53: replace * with + in EnvironmentManager::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:520:53: replace * with / in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:520:45: replace * with + in EnvironmentManager::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:520:45: replace * with / in EnvironmentManager::wind_force_at in 10s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:37: replace * with + in EnvironmentManager::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:37: replace * with / in EnvironmentManager::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:29: replace * with + in EnvironmentManager::wind_force_at in 6s build + 1s test
MISSED   astraweave-physics/src/environment.rs:520:29: replace * with / in EnvironmentManager::wind_force_at in 10s build + 2s test
MISSED   astraweave-physics/src/environment.rs:521:39: replace * with + in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:521:39: replace * with / in EnvironmentManager::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:533:26: replace > with >= in EnvironmentManager::buoyancy_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:546:28: replace < with <= in EnvironmentManager::is_underwater in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:559:28: replace < with <= in EnvironmentManager::water_drag_at in 6s build + 1s test
MISSED   astraweave-physics/src/environment.rs:572:28: replace < with <= in EnvironmentManager::water_current_at in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:103:57: replace - with / in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:103:42: replace * with + in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:103:42: replace * with / in FracturePattern::uniform in 7s build + 3s test
MISSED   astraweave-physics/src/destruction.rs:103:35: replace + with * in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:104:42: replace * with / in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:104:35: replace + with * in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:105:35: replace + with * in FracturePattern::uniform in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:112:25: delete field local_position from struct DebrisConfig expression in FracturePattern::uniform in 7s build + 2s test
211 mutants tested in 39m: 31 missed, 171 caught, 9 unviable
