Found 211 mutants to test
ok       Unmutated baseline in 55s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1300:39: replace * with + in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1300:39: replace * with / in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1304:58: replace * with + in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1308:43: replace + with * in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1308:59: replace * with / in PhysicsWorld::control_character in 9s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1324:50: replace - with / in PhysicsWorld::control_character in 8s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1326:58: replace + with - in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1326:58: replace + with * in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1328:50: replace + with - in PhysicsWorld::control_character in 25s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1328:50: replace + with * in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1335:46: replace += with -= in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1335:46: replace += with *= in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1338:42: replace += with -= in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1405:31: replace < with <= in PhysicsWorld::apply_buoyancy_forces in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1407:88: replace * with + in PhysicsWorld::apply_buoyancy_forces in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1407:88: replace * with / in PhysicsWorld::apply_buoyancy_forces in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1407:67: replace * with + in PhysicsWorld::apply_buoyancy_forces in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1463:40: replace - with + in PhysicsWorld::apply_radial_impulse in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1466:29: replace < with <= in PhysicsWorld::apply_radial_impulse in 8s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1476:35: replace * with + in PhysicsWorld::apply_radial_impulse in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1478:42: replace > with >= in PhysicsWorld::apply_radial_impulse in 7s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with 0.0 in 8s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with 1.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with -1.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:50:43: replace == with != in PhysicsStepProfile::broad_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:54:13: replace * with + in PhysicsStepProfile::broad_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:54:13: replace * with / in PhysicsStepProfile::broad_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:53:54: replace / with % in PhysicsStepProfile::broad_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:53:54: replace / with * in PhysicsStepProfile::broad_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with 0.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with 1.0 in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with -1.0 in 0s build + 2s test
MISSED   astraweave-physics/src/async_scheduler.rs:59:43: replace == with != in PhysicsStepProfile::narrow_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:63:13: replace * with + in PhysicsStepProfile::narrow_phase_percent in 0s build + 1s test
MISSED   astraweave-physics/src/async_scheduler.rs:63:13: replace * with / in PhysicsStepProfile::narrow_phase_percent in 0s build + 2s test
211 mutants tested in 37m: 63 missed, 145 caught, 3 unviable
