Found 211 mutants to test
ok       Unmutated baseline in 55s build + 1s test
MISSED   astraweave-physics/src/lib.rs:998:9: replace PhysicsWorld::enable_async_physics with () in 8s build + 2s test
MISSED   astraweave-physics/src/lib.rs:998:25: replace > with == in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:998:25: replace > with < in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:998:25: replace > with >= in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1005:53: replace > with == in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1005:53: replace > with < in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1005:53: replace > with >= in PhysicsWorld::enable_async_physics in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1015:9: replace PhysicsWorld::get_last_profile -> Option<PhysicsStepProfile> with None in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1015:9: replace PhysicsWorld::get_last_profile -> Option<PhysicsStepProfile> with Some(Default::default()) in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1221:26: replace * with / in PhysicsWorld::jump in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1252:49: replace < with <= in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1253:49: replace > with >= in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1257:63: replace + with * in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1262:54: replace >= with < in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1263:62: replace > with >= in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1265:12: delete ! in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1273:52: replace * with + in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1273:52: replace * with / in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1273:67: replace * with + in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1273:67: replace * with / in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1285:42: replace + with - in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1285:42: replace + with * in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1285:28: replace + with - in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1285:28: replace + with * in PhysicsWorld::control_character in 9s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1291:23: replace - with + in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1291:23: replace - with / in PhysicsWorld::control_character in 7s build + 1s test
MISSED   astraweave-physics/src/lib.rs:1291:27: replace * with + in PhysicsWorld::control_character in 7s build + 2s test
MISSED   astraweave-physics/src/lib.rs:1291:27: replace * with / in PhysicsWorld::control_character in 7s build + 1s test
