astraweave-physics/src/cloth.rs:171:71: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:78: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:78: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:175:32: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:177:32: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:188:53: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:190:48: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:195:25: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:197:46: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:197:46: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:198:49: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:198:49: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:201:59: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:201:59: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:202:48: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:202:48: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:43: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:43: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:57: replace + with - in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:57: replace + with * in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:71: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:71: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:78: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:78: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:208:53: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:211:25: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:212:39: replace -= with /= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:212:49: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:215:59: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:215:59: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:216:48: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:216:48: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:43: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:43: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:57: replace + with - in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:57: replace + with * in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:71: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:71: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:78: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:78: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:374:26: replace - with / in Cloth::pin_corners
astraweave-physics/src/cloth.rs:374:26: replace - with + in Cloth::pin_corners
astraweave-physics/src/cloth.rs:379:18: replace < with <= in Cloth::pin_particle
astraweave-physics/src/cloth.rs:387:18: replace < with <= in Cloth::unpin_particle
astraweave-physics/src/cloth.rs:389:50: replace / with * in Cloth::unpin_particle
astraweave-physics/src/cloth.rs:389:50: replace / with % in Cloth::unpin_particle
astraweave-physics/src/cloth.rs:395:18: replace < with <= in Cloth::move_pinned
astraweave-physics/src/cloth.rs:395:41: replace && with || in Cloth::move_pinned
astraweave-physics/src/cloth.rs:413:39: replace < with <= in Cloth::particle_index
astraweave-physics/src/cloth.rs:427:21: replace * with / in Cloth::particle_normal
astraweave-physics/src/cloth.rs:427:21: replace * with + in Cloth::particle_normal
astraweave-physics/src/cloth.rs:436:16: replace + with * in Cloth::particle_normal
astraweave-physics/src/cloth.rs:450:31: replace * with / in Cloth::particle_normal
astraweave-physics/src/cloth.rs:450:31: replace * with + in Cloth::particle_normal
astraweave-physics/src/cloth.rs:451:32: replace * with / in Cloth::particle_normal
astraweave-physics/src/cloth.rs:451:32: replace * with + in Cloth::particle_normal
astraweave-physics/src/cloth.rs:453:56: replace - with / in Cloth::particle_normal
astraweave-physics/src/cloth.rs:453:56: replace - with + in Cloth::particle_normal
astraweave-physics/src/cloth.rs:454:56: replace - with / in Cloth::particle_normal
astraweave-physics/src/cloth.rs:454:56: replace - with + in Cloth::particle_normal
astraweave-physics/src/cloth.rs:455:24: replace += with -= in Cloth::particle_normal
astraweave-physics/src/cloth.rs:460:18: replace > with >= in Cloth::particle_normal
astraweave-physics/src/cloth.rs:471:46: replace > with >= in Cloth::update
astraweave-physics/src/cloth.rs:482:29: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:486:57: replace * with / in Cloth::update
astraweave-physics/src/cloth.rs:486:57: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:486:64: replace / with * in Cloth::update
astraweave-physics/src/cloth.rs:486:64: replace / with % in Cloth::update
astraweave-physics/src/cloth.rs:493:55: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:493:69: replace * with / in Cloth::update
astraweave-physics/src/cloth.rs:493:69: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:493:76: replace / with * in Cloth::update
astraweave-physics/src/cloth.rs:493:76: replace / with % in Cloth::update
astraweave-physics/src/cloth.rs:499:38: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:499:67: replace * with / in Cloth::update
astraweave-physics/src/cloth.rs:499:67: replace * with + in Cloth::update
astraweave-physics/src/cloth.rs:499:74: replace / with * in Cloth::update
astraweave-physics/src/cloth.rs:499:74: replace / with % in Cloth::update
astraweave-physics/src/cloth.rs:526:9: replace Cloth::get_positions -> Vec<Vec3> with vec![]
astraweave-physics/src/cloth.rs:526:9: replace Cloth::get_positions -> Vec<Vec3> with vec![Default::default()]
astraweave-physics/src/cloth.rs:536:29: replace * with / in Cloth::get_indices
astraweave-physics/src/cloth.rs:536:29: replace * with + in Cloth::get_indices
astraweave-physics/src/cloth.rs:536:33: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:540:34: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:541:34: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:544:34: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:545:34: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:545:38: replace + with - in Cloth::get_indices
astraweave-physics/src/cloth.rs:545:38: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:546:34: replace + with * in Cloth::get_indices
astraweave-physics/src/cloth.rs:560:9: replace Cloth::constraint_count -> usize with 1
astraweave-physics/src/cloth.rs:57:40: replace * with / in ClothParticle::apply_force
astraweave-physics/src/cloth.rs:605:9: replace ClothManager::update with ()
astraweave-physics/src/cloth.rs:67:38: replace - with + in ClothParticle::integrate
astraweave-physics/src/cloth.rs:69:35: replace * with / in ClothParticle::integrate
astraweave-physics/src/cloth.rs:69:70: replace * with + in ClothParticle::integrate
astraweave-physics/src/destruction.rs:103:35: replace + with - in FracturePattern::uniform
astraweave-physics/src/destruction.rs:103:35: replace + with * in FracturePattern::uniform
astraweave-physics/src/destruction.rs:103:42: replace * with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:103:42: replace * with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:103:57: replace - with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:103:57: replace - with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:35: replace + with - in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:35: replace + with * in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:42: replace * with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:42: replace * with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:57: replace - with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:104:57: replace - with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:35: replace + with - in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:35: replace + with * in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:42: replace * with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:42: replace * with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:57: replace - with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:105:57: replace - with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:109:25: delete field shape from struct DebrisConfig expression in FracturePattern::uniform
astraweave-physics/src/destruction.rs:110:54: replace * with / in FracturePattern::uniform
astraweave-physics/src/destruction.rs:110:54: replace * with + in FracturePattern::uniform
astraweave-physics/src/destruction.rs:112:25: delete field local_position from struct DebrisConfig expression in FracturePattern::uniform
astraweave-physics/src/destruction.rs:129:31: replace / with * in FracturePattern::radial
astraweave-physics/src/destruction.rs:129:31: replace / with % in FracturePattern::radial
astraweave-physics/src/destruction.rs:132:49: replace * with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:132:49: replace * with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:132:56: replace - with / in FracturePattern::radial
astraweave-physics/src/destruction.rs:132:56: replace - with + in FracturePattern::radial
astraweave-physics/src/destruction.rs:135:30: replace / with * in FracturePattern::radial
astraweave-physics/src/destruction.rs:135:30: replace / with % in FracturePattern::radial
