Found 3682 mutants to test
ok       Unmutated baseline in 1s build + 81s test
MISSED   astraweave-render/src/camera.rs:260:41: replace > with >= in CameraController::update_camera in 56s build + 107s test
MISSED   astraweave-render/src/camera.rs:261:37: replace += with -= in CameraController::update_camera in 46s build + 104s test
MISSED   astraweave-render/src/camera.rs:261:68: replace * with + in CameraController::update_camera in 55s build + 106s test
MISSED   astraweave-render/src/camera.rs:261:68: replace * with / in CameraController::update_camera in 56s build + 99s test
MISSED   astraweave-render/src/camera.rs:261:56: replace * with + in CameraController::update_camera in 49s build + 98s test
MISSED   astraweave-render/src/camera.rs:268:39: delete - in CameraController::update_camera in 63s build + 96s test
MISSED   astraweave-render/src/camera.rs:270:26: delete - in CameraController::update_camera in 54s build + 99s test
MISSED   astraweave-render/src/camera.rs:273:28: replace += with -= in CameraController::update_camera in 50s build + 101s test
MISSED   astraweave-render/src/camera.rs:273:39: replace * with + in CameraController::update_camera in 59s build + 102s test
MISSED   astraweave-render/src/camera.rs:273:39: replace * with / in CameraController::update_camera in 53s build + 101s test
MISSED   astraweave-render/src/camera.rs:273:51: replace - with + in CameraController::update_camera in 45s build + 105s test
MISSED   astraweave-render/src/camera.rs:274:28: replace += with -= in CameraController::update_camera in 61s build + 100s test
MISSED   astraweave-render/src/camera.rs:274:37: replace * with + in CameraController::update_camera in 58s build + 100s test
MISSED   astraweave-render/src/camera.rs:274:51: replace - with + in CameraController::update_camera in 56s build + 96s test
MISSED   astraweave-render/src/camera.rs:275:34: replace * with + in CameraController::update_camera in 60s build + 101s test
MISSED   astraweave-render/src/camera.rs:275:47: replace - with + in CameraController::update_camera in 52s build + 100s test
MISSED   astraweave-render/src/camera.rs:277:48: replace > with >= in CameraController::update_camera in 61s build + 101s test
MISSED   astraweave-render/src/camera.rs:278:39: replace += with -= in CameraController::update_camera in 55s build + 101s test
MISSED   astraweave-render/src/camera.rs:278:39: replace += with *= in CameraController::update_camera in 46s build + 101s test
MISSED   astraweave-render/src/camera.rs:278:77: replace * with + in CameraController::update_camera in 63s build + 96s test
MISSED   astraweave-render/src/camera.rs:278:77: replace * with / in CameraController::update_camera in 54s build + 101s test
MISSED   astraweave-render/src/camera.rs:278:65: replace * with + in CameraController::update_camera in 55s build + 102s test
MISSED   astraweave-render/src/camera.rs:278:65: replace * with / in CameraController::update_camera in 54s build + 100s test
MISSED   astraweave-render/src/clustered.rs:20:5: replace clamp_u32 -> u32 with 0 in 45s build + 104s test
MISSED   astraweave-render/src/clustered.rs:20:5: replace clamp_u32 -> u32 with 1 in 56s build + 99s test
MISSED   astraweave-render/src/clustered.rs:43:38: replace / with % in bin_lights_cpu in 61s build + 100s test
MISSED   astraweave-render/src/clustered.rs:43:38: replace / with * in bin_lights_cpu in 55s build + 99s test
MISSED   astraweave-render/src/clustered.rs:44:18: replace / with % in bin_lights_cpu in 50s build + 105s test
MISSED   astraweave-render/src/clustered.rs:44:18: replace / with * in bin_lights_cpu in 44s build + 105s test
MISSED   astraweave-render/src/clustered.rs:44:25: replace * with / in bin_lights_cpu in 46s build + 104s test
MISSED   astraweave-render/src/clustered.rs:45:17: replace / with % in bin_lights_cpu in 49s build + 105s test
MISSED   astraweave-render/src/clustered.rs:45:17: replace / with * in bin_lights_cpu in 45s build + 107s test
MISSED   astraweave-render/src/clustered.rs:46:32: replace / with % in bin_lights_cpu in 53s build + 98s test
MISSED   astraweave-render/src/clustered.rs:46:32: replace / with * in bin_lights_cpu in 63s build + 100s test
MISSED   astraweave-render/src/clustered.rs:47:33: replace / with % in bin_lights_cpu in 56s build + 99s test
MISSED   astraweave-render/src/clustered.rs:47:33: replace / with * in bin_lights_cpu in 50s build + 103s test
MISSED   astraweave-render/src/clustered.rs:54:34: replace + with - in bin_lights_cpu in 61s build + 101s test
MISSED   astraweave-render/src/clustered.rs:54:34: replace + with * in bin_lights_cpu in 50s build + 103s test
MISSED   astraweave-render/src/clustered.rs:55:25: replace > with == in bin_lights_cpu in 55s build + 100s test
MISSED   astraweave-render/src/clustered.rs:55:25: replace > with >= in bin_lights_cpu in 61s build + 106s test
MISSED   astraweave-render/src/clustered.rs:55:14: replace - with + in bin_lights_cpu in 52s build + 101s test
MISSED   astraweave-render/src/clustered.rs:55:14: replace - with / in bin_lights_cpu in 45s build + 108s test
MISSED   astraweave-render/src/clustered.rs:59:35: replace * with + in bin_lights_cpu in 50s build + 106s test
MISSED   astraweave-render/src/clustered.rs:59:35: replace * with / in bin_lights_cpu in 43s build + 106s test
MISSED   astraweave-render/src/clustered.rs:59:30: replace / with % in bin_lights_cpu in 51s build + 104s test
MISSED   astraweave-render/src/clustered.rs:60:35: replace * with + in bin_lights_cpu in 60s build + 100s test
MISSED   astraweave-render/src/clustered.rs:62:38: replace * with + in bin_lights_cpu in 60s build + 97s test
MISSED   astraweave-render/src/clustered.rs:62:25: replace * with + in bin_lights_cpu in 58s build + 101s test
MISSED   astraweave-render/src/clustered.rs:63:38: replace * with + in bin_lights_cpu in 43s build + 107s test
MISSED   astraweave-render/src/clustered.rs:63:25: replace * with + in bin_lights_cpu in 57s build + 106s test
MISSED   astraweave-render/src/clustered.rs:65:41: replace * with + in bin_lights_cpu in 61s build + 97s test
MISSED   astraweave-render/src/clustered.rs:65:36: replace * with + in bin_lights_cpu in 58s build + 111s test
MISSED   astraweave-render/src/clustered.rs:65:31: replace / with * in bin_lights_cpu in 63s build + 104s test
MISSED   astraweave-render/src/clustered.rs:65:57: replace * with + in bin_lights_cpu in 52s build + 104s test
MISSED   astraweave-render/src/clustered.rs:65:57: replace * with / in bin_lights_cpu in 52s build + 104s test
MISSED   astraweave-render/src/clustered.rs:66:41: replace * with + in bin_lights_cpu in 50s build + 105s test
MISSED   astraweave-render/src/clustered.rs:66:36: replace * with + in bin_lights_cpu in 56s build + 109s test
MISSED   astraweave-render/src/clustered.rs:66:31: replace / with * in bin_lights_cpu in 60s build + 110s test
MISSED   astraweave-render/src/clustered.rs:66:58: replace * with + in bin_lights_cpu in 52s build + 102s test
MISSED   astraweave-render/src/clustered.rs:66:58: replace * with / in bin_lights_cpu in 55s build + 104s test
MISSED   astraweave-render/src/clustered.rs:67:26: replace - with + in bin_lights_cpu in 51s build + 105s test
MISSED   astraweave-render/src/clustered.rs:67:26: replace - with / in bin_lights_cpu in 54s build + 99s test
MISSED   astraweave-render/src/clustered.rs:68:26: replace + with * in bin_lights_cpu in 60s build + 104s test
MISSED   astraweave-render/src/clustered.rs:69:26: replace - with + in bin_lights_cpu in 58s build + 102s test
MISSED   astraweave-render/src/clustered.rs:69:26: replace - with / in bin_lights_cpu in 48s build + 103s test
MISSED   astraweave-render/src/clustered.rs:70:26: replace + with * in bin_lights_cpu in 57s build + 106s test
MISSED   astraweave-render/src/clustered.rs:71:70: replace - with + in bin_lights_cpu in 60s build + 104s test
MISSED   astraweave-render/src/clustered.rs:71:70: replace - with / in bin_lights_cpu in 57s build + 99s test
MISSED   astraweave-render/src/clustered.rs:72:36: replace / with % in bin_lights_cpu in 52s build + 103s test
MISSED   astraweave-render/src/clustered.rs:72:36: replace / with * in bin_lights_cpu in 50s build + 102s test
MISSED   astraweave-render/src/clustered.rs:72:70: replace - with + in bin_lights_cpu in 52s build + 102s test
MISSED   astraweave-render/src/clustered.rs:72:70: replace - with / in bin_lights_cpu in 52s build + 100s test
ERROR Worker thread failed: failed to write code to "\\\\?\\C:\\Users\\pv2br\\AstraWeave-AI-Native-Gaming-Engine\\astraweave-render\\src\\clustered.rs"

Caused by:
    The requested operation cannot be performed on a file with a user-mapped section open. (os error 1224)
Error: failed to write code to "\\\\?\\C:\\Users\\pv2br\\AstraWeave-AI-Native-Gaming-Engine\\astraweave-render\\src\\clustered.rs"

Caused by:
    The requested operation cannot be performed on a file with a user-mapped section open. (os error 1224)
