Found 3682 mutants to test
ok       Unmutated baseline in 113s build + 96s test
MISSED   astraweave-render/src/camera.rs:260:41: replace > with >= in CameraController::update_camera in 43s build + 99s test
MISSED   astraweave-render/src/camera.rs:261:37: replace += with -= in CameraController::update_camera in 56s build + 107s test
MISSED   astraweave-render/src/camera.rs:261:68: replace * with + in CameraController::update_camera in 44s build + 109s test
MISSED   astraweave-render/src/camera.rs:261:68: replace * with / in CameraController::update_camera in 54s build + 106s test
MISSED   astraweave-render/src/camera.rs:261:56: replace * with + in CameraController::update_camera in 59s build + 109s test
MISSED   astraweave-render/src/camera.rs:268:39: delete - in CameraController::update_camera in 44s build + 99s test
MISSED   astraweave-render/src/camera.rs:270:26: delete - in CameraController::update_camera in 56s build + 110s test
MISSED   astraweave-render/src/camera.rs:273:28: replace += with -= in CameraController::update_camera in 59s build + 103s test
MISSED   astraweave-render/src/camera.rs:273:39: replace * with + in CameraController::update_camera in 44s build + 102s test
MISSED   astraweave-render/src/camera.rs:273:51: replace - with + in CameraController::update_camera in 43s build + 100s test
MISSED   astraweave-render/src/camera.rs:274:28: replace += with -= in CameraController::update_camera in 42s build + 103s test
MISSED   astraweave-render/src/camera.rs:274:37: replace * with + in CameraController::update_camera in 49s build + 100s test
MISSED   astraweave-render/src/camera.rs:274:51: replace - with + in CameraController::update_camera in 43s build + 102s test
MISSED   astraweave-render/src/camera.rs:275:28: replace += with -= in CameraController::update_camera in 43s build + 101s test
MISSED   astraweave-render/src/camera.rs:275:34: replace * with + in CameraController::update_camera in 41s build + 102s test
MISSED   astraweave-render/src/camera.rs:275:47: replace - with + in CameraController::update_camera in 44s build + 103s test
MISSED   astraweave-render/src/camera.rs:277:48: replace > with >= in CameraController::update_camera in 42s build + 105s test
MISSED   astraweave-render/src/camera.rs:278:39: replace += with -= in CameraController::update_camera in 57s build + 102s test
MISSED   astraweave-render/src/camera.rs:278:77: replace * with + in CameraController::update_camera in 42s build + 101s test
MISSED   astraweave-render/src/camera.rs:278:77: replace * with / in CameraController::update_camera in 57s build + 105s test
MISSED   astraweave-render/src/camera.rs:278:65: replace * with + in CameraController::update_camera in 55s build + 112s test
